Gyro_x,Gyro_y,Gyro_z,Acc_x,Acc_y,Acc_z,Mag_x,Mag_y,Mag_z,Euler_x,Euler_y,Euler_z,Quat_0,Quat_1,Quat_2,Quat_3
0.1875,0.25,0.0625,-0.33,0.54,9.88,-1.0625,17.6875,-24.5,-2.75,-2.3125,0.4375,0.999512,0.0245361,0.0203857,-0.00421143
-0.0625,0.375,-0.375,-0.29,0.52,9.83,-1.0625,17.6875,-24.5,-2.75,-2.3125,0.4375,0.999512,0.0245361,0.0203857,-0.00421143
-0.375,0.375,-0.25,-0.24,0.42,9.79,-1.0625,17.6875,-24.5,-2.75,-2.3125,0.4375,0.999512,0.0245361,0.0203857,-0.00421143
-0.3125,0.125,-0.25,-0.27,0.4,9.85,-0.375,19.0625,-25.25,-2.75,-2.3125,0.4375,0.999512,0.0245361,0.0203857,-0.00421143
-0.25,0.0625,-0.125,-0.28,0.4,9.8,-0.375,19.0625,-25.25,-2.75,-2.3125,0.4375,0.999512,0.0245361,0.0203857,-0.00421143
-0.1875,-0.0625,0.125,-0.29,0.44,9.79,-0.375,19.0625,-25.25,-2.75,-2.3125,0.4375,0.999512,0.0245361,0.0203857,-0.00421143
0.1875,-0.0625,0.3125,-0.3,0.47,9.83,-0.375,19.0625,-25.25,-2.75,-2.3125,0.4375,0.999512,0.0245361,0.0203857,-0.00421143
0.25,-0.125,0.1875,-0.32,0.51,9.84,-0.375,19.0625,-25.25,-2.75,-2.3125,0.4375,0.999512,0.0245361,0.0203857,-0.00421143
0.3125,-0.1875,0,-0.29,0.51,9.85,0,18,-24.5,-2.75,-2.3125,0.4375,0.999512,0.0245361,0.0203857,-0.00421143
0.125,-0.4375,-0.0625,-0.27,0.5,9.83,0,18,-24.5,-2.75,-2.3125,0.4375,0.999512,0.0245361,0.0203857,-0.00421143
-0.1875,-0.5,-0.3125,-0.22,0.45,9.82,0,18,-24.5,-2.75,-2.3125,0.4375,0.999512,0.0245361,0.0203857,-0.00421143
-0.125,-0.625,-0.0625,-0.24,0.42,9.83,0,18,-24.5,-2.75,-2.3125,0.4375,0.999512,0.0245361,0.0203857,-0.00421143
-0.1875,-0.375,-0.0625,-0.23,0.45,9.81,0,18,-24.5,-2.75,-2.3125,0.4375,0.999512,0.0245361,0.0203857,-0.00421143
0.25,0.3125,0.125,-0.27,0.45,9.84,0,18,-23.25,-2.75,-2.3125,0.4375,0.999512,0.0245361,0.0203857,-0.00421143
0.25,0.3125,0.125,-0.28,0.49,9.85,0,18,-23.25,-2.75,-2.3125,0.4375,0.999512,0.0245361,0.0203857,-0.00421143
0.25,0.5,0.1875,-0.3,0.51,9.84,0,18,-23.25,-2.75,-2.3125,0.4375,0.999512,0.0245361,0.0203857,-0.00421143
0.125,0.5625,0.0625,-0.33,0.5,9.84,0,18,-23.25,-2.75,-2.3125,0.4375,0.999512,0.0245361,0.0203857,-0.00421143
-0.0625,0.375,-0.125,-0.29,0.49,9.83,0,18,-23.25,-2.75,-2.3125,0.4375,0.999512,0.0245361,0.0203857,-0.00421143
-0.375,0.0625,-0.3125,-0.28,0.46,9.82,0,18,-23.6875,-2.75,-2.3125,0.4375,0.999512,0.0245361,0.0203857,-0.00421143
-0.375,0.0625,-0.3125,-0.26,0.44,9.83,0,18,-23.6875,-2.75,-2.3125,0.4375,0.999512,0.0245361,0.0203857,-0.00421143
0.0625,-0.3125,0.1875,-0.26,0.43,9.79,0,18,-23.6875,-2.75,-2.3125,0.4375,0.999512,0.0245361,0.0203857,-0.00421143
0.125,-0.1875,0.0625,-0.27,0.42,9.81,0,18,-23.6875,-2.75,-2.3125,0.4375,0.999512,0.0245361,0.0203857,-0.00421143
0.3125,-0.0625,0.25,-0.28,0.48,9.84,0,18,-23.6875,-2.75,-2.3125,0.4375,0.999512,0.0245361,0.0203857,-0.00421143
0.3125,-0.375,0.125,-0.29,0.53,9.84,-0.375,18.375,-23.6875,-2.75,-2.3125,0.4375,0.999512,0.0245361,0.0203857,-0.00421143
0.125,-0.375,-0.125,-0.28,0.5,9.86,-0.375,18.375,-23.6875,-2.75,-2.3125,0.4375,0.999512,0.0245361,0.0203857,-0.00421143
-0.125,-0.25,-0.125,-0.27,0.5,9.86,-0.375,18.375,-23.6875,-2.75,-2.3125,0.4375,0.999512,0.0245361,0.0203857,-0.00421143
-0.25,0.125,-0.1875,-0.27,0.48,9.85,-0.375,18.375,-23.6875,-2.75,-2.3125,0.4375,0.999512,0.0245361,0.0203857,-0.00421143
-0.3125,0.1875,-0.0625,-0.26,0.43,9.85,-0.375,18.375,-23.6875,-2.75,-2.3125,0.4375,0.999512,0.0245361,0.0203857,-0.00421143
-0.0625,0.5,-0.0625,-0.26,0.46,9.83,0.375,18.75,-23.6875,-2.75,-2.3125,0.4375,0.999512,0.0245361,0.0203857,-0.00421143
-0.0625,0.625,0.0625,-0.26,0.44,9.81,0.375,18.75,-23.6875,-2.75,-2.3125,0.4375,0.999512,0.0245361,0.0203857,-0.00421143
0.0625,0.4375,0.0625,-0.3,0.48,9.83,0.375,18.75,-23.6875,-2.75,-2.3125,0.4375,0.999512,0.0245361,0.0203857,-0.00421143
0.25,0.375,0.125,-0.33,0.5,9.81,0.375,18.75,-23.6875,-2.75,-2.3125,0.4375,0.999512,0.0245361,0.0203857,-0.00421143
0.125,0.0625,-0.125,-0.32,0.45,9.83,0.375,18.75,-23.6875,-2.75,-2.3125,0.4375,0.999512,0.0245361,0.0203857,-0.00421143
0,-0.25,-0.125,-0.3,0.49,9.83,0.375,18,-23.6875,-2.75,-2.3125,0.4375,0.999512,0.0245361,0.0203857,-0.00421143
-0.125,-0.3125,-0.1875,-0.27,0.45,9.83,0.375,18,-23.6875,-2.75,-2.3125,0.4375,0.999512,0.0245361,0.0203857,-0.00421143
-0.1875,-0.5,-0.0625,-0.27,0.44,9.8,0.375,18,-23.6875,-2.75,-2.3125,0.4375,0.999512,0.0245361,0.0203857,-0.00421143
-0.0625,-0.25,0.125,-0.26,0.43,9.8,0.375,18,-23.6875,-2.75,-2.3125,0.4375,0.999512,0.0245361,0.0203857,-0.00421143
0.125,0,0,-0.26,0.46,9.83,0.375,18,-23.6875,-2.75,-2.3125,0.4375,0.999512,0.0245361,0.0203857,-0.00421143
0.125,0.1875,0.125,-0.28,0.47,9.83,-0.375,18.375,-24.5,-2.75,-2.3125,0.4375,0.999512,0.0245361,0.0203857,-0.00421143
0.1875,0.3125,0,-0.29,0.49,9.86,-0.375,18.375,-24.5,-2.75,-2.3125,0.4375,0.999512,0.0245361,0.0203857,-0.00421143
0.125,0.1875,0,-0.28,0.5,9.82,-0.375,18.375,-24.5,-2.75,-2.3125,0.4375,0.999512,0.0245361,0.0203857,-0.00421143
0,0.125,-0.125,-0.3,0.48,9.83,-0.375,18.375,-24.5,-2.75,-2.3125,0.4375,0.999512,0.0245361,0.0203857,-0.00421143
-0.1875,0.1875,-0.1875,-0.28,0.46,9.85,-0.375,18.375,-24.5,-2.75,-2.3125,0.4375,0.999512,0.0245361,0.0203857,-0.00421143
-0.1875,0,0,-0.26,0.42,9.83,0,17.6875,-24.0625,-2.75,-2.3125,0.4375,0.999512,0.0245361,0.0203857,-0.00421143
-0.125,0,0.0625,-0.28,0.42,9.81,0,17.6875,-24.0625,-2.75,-2.3125,0.4375,0.999512,0.0245361,0.0203857,-0.00421143
0,0.0625,0.0625,-0.28,0.46,9.8,0,17.6875,-24.0625,-2.75,-2.3125,0.4375,0.999512,0.0245361,0.0203857,-0.00421143
0.125,-0.0625,0.1875,-0.28,0.47,9.79,0,17.6875,-24.0625,-2.75,-2.3125,0.4375,0.999512,0.0245361,0.0203857,-0.00421143
0.1875,-0.3125,-0.75,-0.57,0.66,9.96,0,17.6875,-24.0625,-2.75,-2.3125,0.4375,0.999512,0.0245361,0.0203857,-0.00427246
-0.25,-0.3125,-0.75,-0.34,0.7,9.82,0.375,17.6875,-23.25,-2.75,-2.3125,0.5,0.999512,0.024353,0.0204468,-0.00469971
-1.625,0.25,-4.8125,-0.07,0.54,9.98,0.375,17.6875,-23.25,-2.75,-2.3125,0.5625,0.999512,0.0241699,0.0205688,-0.00531006
-2,3.4375,-7.0625,-0.08,0.51,10.03,0.375,17.6875,-23.25,-2.6875,-2.375,0.625,0.999451,0.0239868,0.020813,-0.00585938
-2.75,5.1875,-6.375,-0.06,0.4,9.84,0.375,17.6875,-23.25,-2.6875,-2.4375,0.6875,0.999451,0.0236816,0.0212402,-0.00640869
-3.25,6.6875,-5.1875,-0.23,0.28,9.81,0.375,17.6875,-23.25,-2.625,-2.5,0.75,0.999451,0.0234375,0.0218506,-0.00683594
-2.75,6.6875,-5.1875,-0.23,0.35,9.81,0,17.6875,-24.5,-2.625,-2.5625,0.8125,0.999451,0.0232544,0.0223999,-0.00714111
-2.375,6.6875,-4.25,-0.46,0.34,9.67,0,17.6875,-24.5,-2.625,-2.625,0.8125,0.999451,0.0230713,0.0228882,-0.00750732
-1.625,3.5,-3.875,-0.49,0.33,9.59,0,17.6875,-24.5,-2.5625,-2.625,0.875,0.999451,0.0230713,0.0231934,-0.00787354
-0.5,0.4375,-2.9375,-0.31,0.24,9.65,0,17.6875,-24.5,-2.5625,-2.625,0.875,0.999451,0.0230713,0.0231934,-0.00811768
0.375,-2.4375,-0.6875,-0.25,0.24,9.64,0,17.6875,-24.5,-2.625,-2.625,0.875,0.999451,0.0231323,0.0230103,-0.00817871
