Gyro_x,Gyro_y,Gyro_z,Acc_x,Acc_y,Acc_z,Mag_x,Mag_y,Mag_z,Euler_x,Euler_y,Euler_z,Quat_0,Quat_1,Quat_2,Quat_3
1.625,-19.125,28.8125,-6.21,0.28,9.25,15.0625,-20.0625,-17.875,-0.5,-37.875,180.375,-0.003479,0.324585,-0.00500488,-0.945862
1.125,-23.375,31.875,-6.19,0.22,9.15,15.0625,-20.0625,-17.875,-0.75,-37.625,180.062,-0.000976562,0.322693,-0.00592041,-0.946472
1.75,-28.25,35.5,-6.01,0.13,9.05,15.0625,-20.0625,-17.875,-1,-37.375,179.75,0.00177002,0.320435,-0.00708008,-0.947266
4.25,-30.875,39.625,-5.77,0.09,9.03,15.0625,-20.0625,-17.875,-1.3125,-37.0625,179.375,0.00482178,0.317932,-0.00848389,-0.948059
8.0625,-32.875,43.1875,-6.14,0.33,9.14,15.0625,-20.0625,-17.875,-1.75,-36.6875,179,0.00805664,0.315247,-0.0103149,-0.948914
11.4375,-37.0625,44.5625,-6.27,0.47,9.33,14.375,-20.0625,-18.6875,-2.125,-36.3125,178.625,0.0113525,0.312073,-0.0123901,-0.94989
13.6875,-42.0625,43.625,-6.27,0.55,9.51,14.375,-20.0625,-18.6875,-2.5625,-35.875,178.25,0.0144653,0.308655,-0.0147095,-0.950928
15.3125,-44.8125,41,-5.85,0.6,9.72,14.375,-20.0625,-18.6875,-3,-35.4375,177.875,0.017334,0.305054,-0.0170288,-0.952026
17.0625,-45.25,38.1875,-5.44,0.58,9.65,14.375,-20.0625,-18.6875,-3.8125,-34.5,177.312,0.0222778,0.297791,-0.0220947,-0.954102
20.125,-44,37.1875,-5.07,0.55,9.56,14.375,-20.0625,-18.6875,-3.8125,-34.5,177.312,0.0222778,0.297791,-0.0220947,-0.954102
24.1875,-40.75,38.4375,-4.87,0.51,9.63,12.875,-20.75,-19.0625,-4.3125,-34.125,176.938,0.0250854,0.294495,-0.0249634,-0.955017
28.875,-35.25,41.375,-4.58,0.47,9.38,12.875,-20.75,-19.0625,-4.8125,-33.75,176.625,0.0276489,0.291626,-0.0284424,-0.955688
34.375,-31.1875,46.6875,-4.62,0.46,9.14,12.875,-20.75,-19.0625,-5.4375,-33.375,176.312,0.0304565,0.289062,-0.0324097,-0.956299
40.625,-30.25,53.375,-4.79,0.51,8.87,12.875,-20.75,-19.0625,-6.125,-33.0625,175.938,0.0337524,0.28656,-0.0371094,-0.956726
46.3125,-33.125,59.875,-4.95,0.54,8.74,12.875,-20.75,-19.0625,-6.9375,-32.6875,175.5,0.0373535,0.283813,-0.0423584,-0.957214
50.6875,-34.625,63.6875,-5.33,0.95,8.76,12.1875,-21.5,-19.0625,-7.8125,-32.25,175.062,0.0411377,0.280945,-0.0480957,-0.957642
52.4375,-35.8125,64.875,-5.1,1.19,8.8,12.1875,-21.5,-19.0625,-8.6875,-31.8125,174.562,0.0449829,0.277954,-0.0540161,-0.958008
50.75,-33.1875,64.4375,-4.86,1.49,8.88,12.1875,-21.5,-19.0625,-9.5,-31.375,174.125,0.0488892,0.275146,-0.0597534,-0.958313
47.3125,-31.875,64.3125,-4.65,1.72,8.32,12.1875,-21.5,-19.0625,-10.3125,-31,173.688,0.0527954,0.2724,-0.0652466,-0.958496
48.4375,-41.0625,64.0625,-4.89,1.81,7.5,12.1875,-21.5,-19.0625,-11.125,-30.5,173.188,0.0566406,0.268982,-0.0708008,-0.958862
51.25,-45.6875,60.3125,-5.23,1.73,7.11,10.375,-23,-18.5625,-11.875,-29.9375,172.812,0.0601196,0.265137,-0.0765381,-0.95929
