Gyro_x,Gyro_y,Gyro_z,Acc_x,Acc_y,Acc_z,Mag_x,Mag_y,Mag_z,Euler_x,Euler_y,Euler_z,Quat_0,Quat_1,Quat_2,Quat_3
0.4375,1.875,0,-0.32,0.02,9.54,19.5625,21.375,-69.1875,0,0,359.938,1,0,0.000366211,0.000366211
0.3125,0.75,0.0625,-0.36,0.05,9.62,19.5625,21.375,-69.1875,0,0,359.938,1,0,0.000366211,0.000366211
0.0625,-0.1875,-0.0625,-0.33,0.11,9.53,20,21.75,-70.375,0,0,359.938,1,0,0.000366211,0.000366211
-0.5,-1.75,0.125,-0.24,-0.06,9.56,20,21.75,-70.375,0,-1.6875,359.938,0.999878,0.000305176,0.0151367,0.000366211
-0.8125,-2.25,0.125,-0.23,-0.12,9.56,20,21.75,-70.375,0,-1.6875,359.938,0.999878,0.000244141,0.0148926,0.000366211
-0.3125,-1.6875,0.0625,-0.19,-0.16,9.48,20,21.75,-70.375,0,-1.6875,359.938,0.999878,0.000244141,0.0147705,0.000366211
0.4375,-1.4375,0.125,-0.13,-0.09,9.48,20,21.75,-70.375,0,-1.625,359.938,0.999878,0.000183105,0.0146484,0.000366211
0.625,-0.9375,-0.125,-0.12,0.04,9.66,20,22.1875,-68,0,-1.625,359.938,0.999878,0.000244141,0.0145264,0.000366211
0.0625,0.125,0,-0.11,0,9.64,20,22.1875,-68,0,-1.625,359.938,0.999878,0.000244141,0.0144653,0.000366211
-0.3125,1.8125,-0.125,-0.16,0,9.6,20,22.1875,-68,0,-1.625,359.938,0.999878,0.000244141,0.0145874,0.000366211
0.25,2.875,-0.125,-0.26,-0.03,9.51,20,22.1875,-68,0,-1.6875,359.938,0.999878,0.000244141,0.0148315,0.000366211
0.75,3.0625,-0.0625,-0.36,-0.01,9.54,20,22.1875,-68,0,-1.6875,359.938,0.999878,0.000305176,0.0150757,0.000366211
0.375,1.4375,0,-0.38,0.05,9.61,20,22.1875,-68,0,-1.6875,359.938,0.999878,0.000305176,0.0152588,0.000366211
-0.4375,-0.8125,0.125,-0.39,0,9.57,20,22.1875,-68,0,-1.6875,359.938,0.999878,0.000305176,0.0151367,0.000366211
-0.625,-2.625,0.0625,-0.28,-0.1,9.49,20,22.1875,-68,0,-1.6875,359.938,0.999878,0.000244141,0.0149536,0.000366211
-0.3125,-3,0.125,-0.21,-0.08,9.51,20,22.1875,-68,0,-1.625,359.938,0.999878,0.000244141,0.0147095,0.000366211
0.125,-2.5,0.0625,-0.14,-0.01,9.6,20,22.1875,-68,0,-1.625,359.938,0.999878,0.000244141,0.0144653,0.000366211
0,-1.4375,0.1875,-0.1,0,9.63,19.25,22.1875,-68.75,0,-1.625,359.938,0.999878,0.000244141,0.0143433,0.000366211
-0.125,0.0625,-0.0625,-0.15,0,9.59,19.25,22.1875,-68.75,0,-1.625,359.938,0.999878,0.000244141,0.0142822,0.000366211
0,1.4375,0,-0.18,-0.03,9.55,19.25,22.1875,-68.75,0,-1.625,359.938,0.999878,0.000183105,0.0144043,0.000366211
0.25,2.625,-0.0625,-0.24,-0.04,9.55,19.25,22.1875,-68.75,0,-1.625,359.938,0.999878,0.000183105,0.0146484,0.000366211
0.375,2.375,0,-0.29,-0.02,9.58,19.25,22.1875,-68.75,0,-1.6875,359.938,0.999878,0.000183105,0.0148315,0.000366211
