Gyro_x,Gyro_y,Gyro_z,Acc_x,Acc_y,Acc_z,Mag_x,Mag_y,Mag_z,Euler_x,Euler_y,Euler_z,Quat_0,Quat_1,Quat_2,Quat_3
-0.1875,0.0625,0.125,8.44,-0.55,4.9,-20.75,-20.25,-19.6875,6.3125,59.875,193.938,0.105103,0.492126,-0.0925903,0.859192
-0.125,0.125,-0.125,8.46,-0.54,4.92,-20.75,-20.25,-19.6875,6.3125,59.875,193.938,0.105103,0.492126,-0.0925903,0.859192
0.0625,0.25,0,8.42,-0.51,4.95,-21.5,-20.25,-20,6.3125,59.875,193.938,0.105103,0.492126,-0.0925903,0.859192
0.125,0.0625,0.0625,8.43,-0.54,4.95,-21.5,-20.25,-20,6.3125,59.875,193.938,0.105103,0.492126,-0.0925903,0.859192
-0.0625,-0.125,-0.0625,8.46,-0.56,4.91,-21.5,-20.25,-20,6.3125,59.875,193.938,0.105103,0.492126,-0.0925903,0.859192
0,-0.0625,0.125,8.46,-0.55,4.97,-21.5,-20.25,-20,6.3125,59.875,193.938,0.105103,0.492126,-0.0925903,0.859192
0.125,0,0.1875,8.42,-0.53,4.95,-21.5,-20.25,-20,6.3125,59.875,193.938,0.105103,0.492126,-0.0925903,0.859192
0.0625,0.125,0,8.44,-0.52,4.97,-21.1875,-20.25,-19.5625,6.3125,59.875,193.938,0.105103,0.492126,-0.0925903,0.859192
0,-0.0625,-0.125,8.45,-0.51,4.94,-21.1875,-20.25,-19.5625,6.3125,59.875,193.938,0.105103,0.492126,-0.0925903,0.859192
-0.0625,0.0625,0,8.45,-0.53,4.93,-21.1875,-20.25,-19.5625,6.3125,59.875,193.938,0.105103,0.492126,-0.0925903,0.859192
0,0,-0.125,8.46,-0.51,4.98,-21.1875,-20.25,-19.5625,6.3125,59.875,193.938,0.105103,0.492126,-0.0925903,0.859192
0.0625,0,-0.0625,8.45,-0.55,4.96,-21.1875,-20.25,-19.5625,6.3125,59.875,193.938,0.105103,0.492126,-0.0925903,0.859192
-0.0625,-0.0625,-0.0625,8.45,-0.53,4.96,-21.1875,-20.6875,-18.75,6.3125,59.875,193.938,0.105103,0.492126,-0.0925903,0.859192
0,0,-0.0625,8.47,-0.52,4.96,-21.1875,-20.6875,-18.75,6.3125,59.875,193.938,0.105103,0.492126,-0.0925903,0.859192
0,0.125,-0.0625,8.46,-0.54,4.94,-21.1875,-20.6875,-18.75,6.3125,59.875,193.938,0.105103,0.492126,-0.0925903,0.859192
0,0.125,0,8.45,-0.55,4.97,-21.1875,-20.6875,-18.75,6.3125,59.875,193.938,0.105103,0.492126,-0.0925903,0.859192
0.0625,0.125,-0.0625,8.44,-0.53,4.96,-21.1875,-20.6875,-18.75,6.3125,59.875,193.938,0.105103,0.492126,-0.0925903,0.859192
0.0625,0.1875,0,8.43,-0.53,4.99,-22.25,-21.75,-19.6875,6.3125,59.875,193.938,0.105103,0.492126,-0.0925903,0.859192
0.0625,0.0625,0.1875,8.44,-0.55,4.98,-22.25,-21.75,-19.6875,6.3125,59.875,193.938,0.105103,0.492126,-0.0925903,0.859192
-0.0625,0.125,0,8.45,-0.53,4.94,-22.25,-21.75,-19.6875,6.3125,59.875,193.938,0.105103,0.492126,-0.0925903,0.859192
0,0.125,0,8.46,-0.54,4.95,-22.25,-21.75,-19.6875,6.3125,59.875,193.938,0.105103,0.492126,-0.0925903,0.859192
0,0.1875,0,8.45,-0.53,4.95,-22.25,-21.75,-19.6875,6.3125,59.875,193.938,0.105103,0.492126,-0.0925903,0.859192
0,0.0625,-0.0625,8.45,-0.56,4.96,-21.875,-20.6875,-18.75,6.3125,59.875,193.938,0.105103,0.492126,-0.0925903,0.859192
0,0.0625,0.125,8.41,-0.52,4.97,-21.875,-20.6875,-18.75,6.3125,59.875,193.938,0.105103,0.492126,-0.0925903,0.859192
-0.0625,0.125,0,8.42,-0.53,4.93,-21.875,-20.6875,-18.75,6.3125,59.875,193.938,0.105103,0.492126,-0.0925903,0.859192
0.0625,0.125,-0.0625,8.42,-0.54,4.94,-21.875,-20.6875,-18.75,6.3125,59.875,193.938,0.105103,0.492126,-0.0925903,0.859192
0.0625,0.0625,-0.125,8.42,-0.54,4.97,-21.875,-20.6875,-18.75,6.3125,59.875,193.938,0.105103,0.492126,-0.0925903,0.859192
0.0625,-0.125,-0.125,8.45,-0.52,4.94,-21.875,-19.875,-20.5,6.3125,59.875,193.938,0.105103,0.492126,-0.0925903,0.859192
0.0625,-0.0625,-0.0625,8.45,-0.54,4.95,-21.875,-19.875,-20.5,6.3125,59.875,193.938,0.105103,0.492126,-0.0925903,0.859192
0.0625,-0.125,-0.125,8.44,-0.53,4.95,-21.875,-19.875,-20.5,6.3125,59.875,193.938,0.105103,0.492126,-0.0925903,0.859192
-0.0625,0.0625,-0.0625,8.44,-0.53,4.93,-21.875,-19.875,-20.5,6.3125,59.875,193.938,0.105103,0.492126,-0.0925903,0.859192
0,-0.0625,-0.0625,8.44,-0.55,4.97,-21.875,-19.875,-20.5,6.3125,59.875,193.938,0.105103,0.492126,-0.0925903,0.859192
0.0625,-0.125,-0.0625,8.43,-0.52,4.96,-20.375,-21.0625,-20,6.3125,59.875,193.938,0.105103,0.492126,-0.0925903,0.859192
0,0,0.0625,8.45,-0.54,4.96,-20.375,-21.0625,-20,6.3125,59.875,193.938,0.105103,0.492126,-0.0925903,0.859192
0.0625,0,0,8.43,-0.55,4.94,-20.375,-21.0625,-20,6.3125,59.875,193.938,0.105103,0.492126,-0.0925903,0.859192
0,0.0625,0,8.44,-0.52,4.93,-20.375,-21.0625,-20,6.3125,59.875,193.938,0.105103,0.492126,-0.0925903,0.859192
0.125,0.0625,0,8.43,-0.53,4.97,-20.375,-21.0625,-20,6.3125,59.875,193.938,0.105103,0.492126,-0.0925903,0.859192
-0.0625,0.125,0.0625,8.45,-0.53,4.97,-20.375,-19.5625,-18.75,6.3125,59.875,193.938,0.105103,0.492126,-0.0925903,0.859192
-0.0625,0,0.125,8.41,-0.54,4.95,-20.375,-19.5625,-18.75,6.3125,59.875,193.938,0.105103,0.492126,-0.0925903,0.859192
0.0625,0.25,0.0625,8.44,-0.54,4.94,-20.375,-19.5625,-18.75,6.3125,59.875,193.938,0.105103,0.492126,-0.0925903,0.859192
