Gyro_x,Gyro_y,Gyro_z,Acc_x,Acc_y,Acc_z,Euler_x,Euler_y,Euler_z,Quat_0,Quat_1,Quat_2,Quat_3
1.25,-29.125,-1.5625,-0.55,0.06,9.52,-0.75,-3.5,4.1875,-0.99884,-0.00805664,-0.0304565,0.0366211
2.3125,-31.375,-1.125,-0.14,0.06,9.63,-0.8125,-3.1875,4.1875,-0.998901,-0.00817871,-0.027771,0.0367432
2.625,-28.4375,-0.4375,0.04,0.21,9.84,-0.8125,-2.9375,4.1875,-0.998962,-0.00830078,-0.0253906,0.0368042
2.375,-21.1875,-0.4375,0.19,0.36,9.83,-0.8125,-2.6875,4.1875,-0.999023,-0.00842285,-0.0235596,0.0368042
1.625,-12.4375,-0.3125,0.22,0.41,9.93,-0.875,-2.5625,4.1875,-0.999023,-0.00854492,-0.022522,0.0368042
-0.3125,-4.625,1.375,-0.34,0.31,9.61,-0.875,-2.5625,4.1875,-0.999023,-0.00854492,-0.0221558,0.0366821
-2.0625,-8.125,2.6875,-2.32,0.09,8.7,-0.8125,-2.4375,4.125,-0.999084,-0.00836182,-0.0214233,0.036438
0.0625,-28.4375,-2,-3.87,-0.07,8.41,-0.8125,-2.1875,4.1875,-0.999084,-0.00823975,-0.019043,0.0366821
3.0625,-58.4375,-7.1875,0.47,0.04,9.77,-0.875,-1.625,4.25,-0.999146,-0.00830078,-0.0140991,0.0372925
4.375,-64.9375,-4.3125,1.83,0.01,9.67,-0.875,-1,4.3125,-0.999207,-0.00848389,-0.00860596,0.0377197
7.4375,-50.4375,2.6875,1.93,0.17,9.61,-1,-0.5,4.25,-0.999268,-0.00897217,-0.0043335,0.0375366
7.6875,-41.25,8.625,1.35,0.54,9.94,-1.0625,-0.125,4.1875,-0.999268,-0.00946045,-0.000793457,0.0368652
3.1875,-37.125,7.125,1.64,1.02,10.69,-1.0625,0.1875,4.125,-0.999268,-0.00964355,0.00231934,0.0362549
-0.4375,-11.4375,2.25,1.86,1.45,10.04,-1.0625,0.3125,4.125,-0.999268,-0.00958252,0.0032959,0.0360718
-2.75,17.1875,0.625,1.77,1.86,10,-1.0625,0.125,4.125,-0.999329,-0.00939941,0.00183105,0.0360107
-6.375,30.5625,-0.1875,0.56,3.67,10.23,-1,-0.0625,4.125,-0.999329,-0.00897217,-0.000732422,0.0360107
-7,40.6875,-1.375,1.15,4.67,9.39,-0.9375,-0.5,4.125,-0.999329,-0.00848389,-0.00421143,0.0360718
-8.0625,12.25,-12.0625,2.44,5.69,8.62,-0.875,-0.625,4.25,-0.999268,-0.0078125,-0.00531006,0.0371094
-3.125,-29.375,-21.1875,2.8,6.14,9.53,-0.8125,-0.3125,4.4375,-0.999207,-0.00744629,-0.00280762,0.0388794
4.75,-45.875,-36.125,1.59,5.36,8.99,-0.875,0.0625,4.8125,-0.999084,-0.00769043,0.0010376,0.0419922
11.5625,-48.625,-56.1875,1.4,4.41,9.36,-1,0.5,5.3125,-0.99884,-0.00854492,0.00512695,0.0467529
14.4375,-54.5625,-72.625,1.64,3.63,10.18,-1.125,1,6.0625,-0.998535,-0.00958252,0.00976562,0.0529175
12.5625,-63.1875,-80.1875,2.08,2.97,11.27,-1.25,1.625,6.8125,-0.998047,-0.010437,0.0150757,0.0596924
5.125,-65.1875,-79.6875,2.57,2.13,13.08,-1.3125,2.25,7.625,-0.997498,-0.0106201,0.0205078,0.0664673
-8.25,-57.125,-72.9375,2.87,1.96,13.86,-1.3125,2.75,8.3125,-0.997009,-0.00970459,0.0252075,0.0726929
-27.8125,-44.5625,-59.875,3.17,1.85,14.53,-1.0625,3.1875,8.875,-0.996521,-0.00720215,0.0287476,0.0778198
-52.8125,-31.375,-42.625,3.26,1.81,14.91,-0.5625,3.5,9.3125,-0.996155,-0.00268555,0.0310059,0.081543
-80.5625,-18.8125,-23.5,3.34,2.32,14.86,0.125,3.6875,9.5625,-0.995972,0.00415039,0.0320435,0.0837402
-107.938,-8.4375,-4,3.35,2.63,14.25,1.1875,3.75,9.6875,-0.99585,0.0133057,0.0319824,0.0844116
-129.875,1,14.3125,3.13,2.93,13.4,2.4375,3.75,9.5625,-0.995728,0.024231,0.0310059,0.0835571
-143,11.3125,28.25,2.75,3.05,12.44,3.875,3.625,9.3125,-0.995605,0.0362549,0.0289307,0.081543
-147.688,23.125,37,2.01,3.24,10.61,5.3125,3.375,9,-0.995361,0.048645,0.0258789,0.0788574
-145.625,33,41.5625,1.6,3.2,9.65,6.75,3,8.6875,-0.995056,0.06073,0.0219727,0.0758057
-137.625,38.0625,44.375,1.38,3.2,8.82,8.0625,2.5625,8.3125,-0.994629,0.0721436,0.0176392,0.0725098
-124.938,40.875,46.25,1.06,3.18,7.62,9.3125,2.125,7.9375,-0.994141,0.0824585,0.0131836,0.0690308
-109.062,43.1875,47.75,0.99,3.1,7.22,10.375,1.625,7.5,-0.993652,0.0914307,0.00854492,0.0654907
-92.8125,44.625,49.6875,1.06,3.1,7.16,11.3125,1.125,7.0625,-0.993164,0.098999,0.00390625,0.0617065
-78.5625,45.1875,52.375,1.06,3.14,7.22,12.0625,0.5625,6.625,-0.992737,0.105347,-0.000732422,0.0576782
-68.9375,42.375,56,0.65,3.1,7.1,12.75,0.0625,6.125,-0.992371,0.110901,-0.00512695,0.0534058
-64.25,36.125,59.375,0.42,3.21,7.02,13.3125,-0.3125,5.5625,-0.992004,0.116089,-0.00897217,0.0487061
-63.6875,27.0625,61.8125,0.28,3.25,6.64,13.9375,-0.75,5,-0.991577,0.121277,-0.012146,0.0437622
-64.9375,18.9375,62.6875,0.04,3.13,6.11,14.5625,-1.0625,4.4375,-0.991089,0.126587,-0.0145874,0.0386353
-65.875,13.5,61,-0.7,3.02,5.51,15.1875,-1.375,3.875,-0.99054,0.131958,-0.0166016,0.0335693
-66.375,10.375,56.3125,-1.24,2.97,5.46,15.8125,-1.5625,3.3125,-0.989929,0.137451,-0.0183105,0.0288696
-67.375,6.0625,48.625,-1.74,2.94,5.31,16.4375,-1.75,2.8125,-0.989197,0.142944,-0.0195312,0.0247803
-68.3125,-0.3125,38.6875,-2.22,2.93,5.12,17.125,-1.875,2.4375,-0.988464,0.148621,-0.0201416,0.0214233
-67.5625,-5.9375,25.6875,-3.01,2.72,4.63,17.75,-1.875,2.1875,-0.987671,0.154236,-0.0200806,0.019104
-65.1875,-11.75,10.5625,-3.16,2.5,4.42,18.375,-1.8125,2.0625,-0.986816,0.159668,-0.0193481,0.0179443
-62.125,-18.875,-5.75,-3.28,2.22,4.2,19,-1.625,2.0625,-0.985962,0.164856,-0.0177612,0.0180664
-59.625,-30.625,-21.5625,-2.78,1.41,4.4,19.5625,-1.3125,2.25,-0.985168,0.169922,-0.0150146,0.0193481
-59.125,-43.375,-35.9375,-2.34,1.06,4.46,20.125,-0.75,2.5,-0.984253,0.174988,-0.0109863,0.0216675
-60.625,-53.75,-48.1875,-1.97,0.69,4.21,20.75,-0.125,2.875,-0.983337,0.180115,-0.00592041,0.0247803
-60.9375,-61.5,-58.75,-1.49,0.38,4.01,21.3125,0.5625,3.3125,-0.982239,0.185364,-6.10352e-05,0.0286865
-58.6875,-65.1875,-67.25,-0.56,0.23,4.11,21.875,1.375,3.875,-0.98114,0.190369,0.00628662,0.0332642
-53.125,-63.8125,-76.6875,-0.44,0.18,4.12,22.375,2.25,4.5,-0.97998,0.194885,0.0126343,0.0386353
-43.375,-55.6875,-88.625,-0.95,0.28,4.2,22.75,3.0625,5.25,-0.978882,0.198608,0.0186157,0.045105
-30.3125,-44.5,-106,-1.65,0.54,4.4,23,3.875,6.1875,-0.977844,0.201111,0.0239258,0.0531616
-15.625,-32.4375,-130.375,-2.52,1.02,5.06,23.125,4.6875,7.375,-0.976868,0.202271,0.0287476,0.0634155
-1.3125,-20.5625,-159.062,-2.15,1.16,5.28,23,5.4375,8.875,-0.97583,0.202087,0.0331421,0.0761719
12.6875,-8.5,-188.062,-1.2,1.25,5.72,22.6875,6.25,10.6875,-0.974731,0.2005,0.0371704,0.0914917
25.6875,6.8125,-212.438,0,1.25,6.35,22.25,6.9375,12.75,-0.973389,0.197632,0.0404053,0.109009
35.4375,21,-227.938,2.44,0.82,7.46,21.625,7.625,15,-0.971741,0.193726,0.0427856,0.12793
41.4375,31.25,-233.75,3.49,0.62,7.8,20.875,8.125,17.25,-0.969788,0.189087,0.0444946,0.147461
44.0625,38.9375,-231.25,4.34,0.64,7.97,20.125,8.5625,19.5625,-0.96759,0.184082,0.0455322,0.166809
44.3125,44.1875,-224.875,4.58,1.49,9.02,19.375,8.875,21.75,-0.965088,0.178955,0.0460205,0.185669
44.0625,49.25,-218.188,5.15,1.8,9.36,18.625,9.125,23.9375,-0.962341,0.173706,0.0459595,0.204041
44.4375,50.1875,-211.625,5.76,1.82,9.65,17.8125,9.3125,26,-0.959351,0.168396,0.0457764,0.221741
48.6875,48.5625,-204.188,6.09,1.66,9.98,17,9.4375,28,-0.956238,0.16272,0.0456543,0.23877
58.875,49.3125,-196.938,6.4,1.31,10.31,16.125,9.5625,29.9375,-0.953125,0.156128,0.0455322,0.255066
73.875,53.9375,-192.75,6.44,1.26,10.75,15.0625,9.5625,31.8125,-0.950012,0.148254,0.0452881,0.270996
90.1875,60.4375,-192.188,6.41,1.31,11.29,13.875,9.4375,33.6875,-0.946838,0.138916,0.0449219,0.286743
103.375,66.125,-194.625,6.43,1.43,11.89,12.5625,9.25,35.5625,-0.943359,0.128235,0.0444336,0.302673
112.125,66.9375,-199.062,6.45,1.65,13.29,11.125,9,37.4375,-0.939575,0.116821,0.0440674,0.318787
117.375,60.75,-204.312,6.25,1.47,13.96,9.6875,8.8125,39.375,-0.935242,0.105103,0.0444336,0.335083
119.938,50.3125,-209.75,5.79,1.25,14.41,8.1875,8.625,41.375,-0.930359,0.0933838,0.0457153,0.351562
120.688,39.8125,-217.5,5.42,1.24,14.94,6.6875,8.5,43.4375,-0.924805,0.0818481,0.0478516,0.368408
119,33.4375,-227.438,5.65,1.79,16.62,5.25,8.4375,45.5625,-0.918457,0.0706177,0.0505371,0.385864
114.188,34.625,-239.25,5.95,2.07,17.14,3.75,8.3125,47.8125,-0.911255,0.0595703,0.0529785,0.403992
108.188,41.75,-251.75,6.22,2.2,17.14,2.375,8,50.1875,-0.903137,0.048645,0.0546875,0.423035
104.125,48.6875,-264.188,6.97,1.98,16.43,1,7.625,52.6875,-0.894104,0.0377197,0.0557861,0.442749
105.25,50.375,-274.688,7.22,1.63,15.88,-0.3125,7.125,55.25,-0.884155,0.0266113,0.0567627,0.463013
113.25,44.8125,-282.125,7.28,1.26,15.61,-1.6875,6.6875,57.9375,-0.873291,0.0150757,0.0584717,0.483459
125.125,36.4375,-286.875,7.31,0.98,15.84,-3.25,6.1875,60.625,-0.861572,0.00292969,0.0612183,0.503906
134.688,29.375,-289.25,7.52,0.77,17.3,-4.8125,5.6875,63.3125,-0.849182,-0.00964355,0.0648804,0.524048
136.688,28.5625,-287.875,7.49,0.81,17.73,-6.4375,5.1875,66.0625,-0.836121,-0.0222778,0.0686035,0.543762
131.938,32.8125,-283.5,7.52,0.92,17.95,-7.9375,4.5,68.6875,-0.822754,-0.034729,0.0717773,0.562744
122,39.75,-275.688,7.8,1.15,18.17,-9.3125,3.75,71.3125,-0.809265,-0.0467529,0.0739746,0.580872
108.625,49.0625,-265.625,8.48,1.16,18.72,-10.5,2.8125,73.8125,-0.795898,-0.0582275,0.0748901,0.597961
92.875,57.375,-253.625,8.66,0.69,18.51,-11.5,1.8125,76.1875,-0.782776,-0.0689697,0.0744629,0.613953
77.5,61.1875,-240.438,8.37,0.06,17.65,-12.25,0.75,78.4375,-0.770081,-0.0787354,0.072998,0.628845
66.9375,60.375,-227.625,7.86,-0.36,16.54,-12.9375,-0.25,80.5625,-0.757751,-0.0877075,0.071106,0.6427
64.875,58.8125,-217.688,6.48,-0.51,15.19,-13.5625,-1.3125,82.625,-0.745605,-0.0963745,0.0692139,0.655701
68.375,58.125,-212,6.31,-0.53,15.24,-14.125,-2.3125,84.625,-0.733521,-0.105103,0.067627,0.66803
72.5,60.4375,-208.75,6.25,-0.49,15.46,-14.75,-3.375,86.5625,-0.721313,-0.114197,0.0661011,0.679932
72.5,66.3125,-205.062,6.31,-0.61,15.43,-15.3125,-4.5625,88.5,-0.709106,-0.123535,0.064209,0.691223
68.6875,72,-199.75,6.35,-0.8,15.18,-15.8125,-5.75,90.375,-0.69696,-0.132935,0.0618286,0.701965
63,75.625,-192.562,6.33,-1.13,14.97,-16.25,-6.9375,92.1875,-0.68512,-0.14209,0.05896,0.711975
56.5,76.3125,-183.812,6.21,-1.47,14.75,-16.625,-8.1875,93.875,-0.673645,-0.150818,0.0557251,0.721313
49.625,74.1875,-175,5.9,-2.05,13.96,-16.875,-9.3125,95.5,-0.662659,-0.158997,0.0522461,0.72998
42.875,70.625,-166.875,5.68,-2.32,13.46,-17.0625,-10.4375,97.0625,-0.651978,-0.166443,0.0487061,0.738098
36.8125,66.5625,-159.312,5.47,-2.49,12.99,-17.1875,-11.5625,98.5625,-0.641724,-0.173279,0.045105,0.745728
31.0625,62.875,-152.688,5.34,-2.58,12.59,-17.1875,-12.5625,99.9375,-0.631836,-0.179504,0.0413818,0.752869
25.4375,59.5625,-145.562,5.14,-2.74,12.06,-17.1875,-13.5,101.312,-0.622375,-0.18512,0.0376587,0.759583
20,57.1875,-138.375,5.04,-2.87,11.88,-17.0625,-14.4375,102.625,-0.613281,-0.190308,0.0337524,0.765869
15.4375,56.1875,-131.125,4.8,-3.06,11.43,-16.9375,-15.3125,103.812,-0.604675,-0.195068,0.0297241,0.771667
12.5625,55.6875,-124.812,4.48,-3.39,10.98,-16.8125,-16.1875,104.938,-0.596436,-0.199646,0.0256348,0.777039
11.8125,54.5,-118.188,4.16,-3.9,10.43,-16.625,-17.0625,106.062,-0.588562,-0.204102,0.0216675,0.781982
11.625,52.0625,-110.562,4.18,-4.05,10.52,-16.4375,-17.8125,107.062,-0.581116,-0.208313,0.0179443,0.786499
9.6875,48,-100.562,4.19,-4.18,10.84,-16.3125,-18.5625,108,-0.57428,-0.212097,0.0144653,0.790588
4.25,44.875,-89.0625,4.02,-4.71,11.18,-16.125,-19.1875,108.812,-0.568298,-0.215393,0.0109863,0.794067
-4.375,43.4375,-77.25,3.86,-4.94,11.23,-15.8125,-19.8125,109.438,-0.563232,-0.218201,0.00720215,0.796936
-14.375,43.1875,-65.25,3.7,-5.2,11.24,-15.5,-20.375,110,-0.559143,-0.220459,0.00299072,0.799255
-25,44.125,-52.75,3.52,-5.41,11.27,-15.125,-20.9375,110.438,-0.55603,-0.222229,-0.00177002,0.800903
-35.5625,45.8125,-40.5,2.99,-5.73,11.43,-14.6875,-21.5,110.688,-0.553955,-0.223633,-0.00708008,0.801941
-46.125,49.25,-28.625,2.77,-5.74,11.48,-14.1875,-22,110.812,-0.552795,-0.224792,-0.0130615,0.802307
-57.0625,54.125,-17.625,2.56,-5.76,11.54,-13.625,-22.5625,110.812,-0.552612,-0.225769,-0.0198364,0.802002
-68.6875,59.875,-7,2.57,-5.67,11.65,-13,-23.125,110.688,-0.553345,-0.226624,-0.0274048,0.801025
-80.5625,64.5,4.4375,2.74,-5.58,11.53,-12.25,-23.75,110.438,-0.555054,-0.227234,-0.0357666,0.799377
-92.875,65.375,16.875,2.49,-5.71,10.9,-11.5,-24.3125,110,-0.557739,-0.227356,-0.0447998,0.797058
-102.438,62.4375,29.125,2.04,-5.88,10.31,-10.6875,-24.875,109.438,-0.561401,-0.226807,-0.0540771,0.794006
-108.125,56.875,39.4375,1.74,-5.83,9.98,-9.875,-25.3125,108.812,-0.565796,-0.225647,-0.0632324,0.790527
-111.625,50.0625,47.1875,1.47,-5.42,10.27,-9.0625,-25.75,108.062,-0.570801,-0.223877,-0.0722046,0.786682
-116.062,43.4375,53.25,1.48,-5.18,10.43,-8.1875,-26.0625,107.25,-0.576233,-0.221497,-0.0809937,0.782532
-121.562,36.1875,58.5625,1.57,-5,10.57,-7.3125,-26.3125,106.375,-0.582092,-0.218384,-0.0897217,0.778076
-127.375,28.625,64.1875,1.67,-4.75,10.81,-6.4375,-26.5625,105.438,-0.588379,-0.214478,-0.0982666,0.773376
-133.688,20.5,70.5,1.81,-4.58,11.01,-5.4375,-26.6875,104.438,-0.595215,-0.209717,-0.10675,0.768372
-139.312,12.8125,77.4375,2,-4.31,11.32,-4.5,-26.75,103.375,-0.602539,-0.204224,-0.115051,0.762878
-139.312,6.0625,85.3125,2.15,-4.03,11.54,-3.5,-26.75,102.188,-0.610413,-0.19812,-0.123169,0.756958
-147,0.5,93.4375,2.74,-3.85,11.97,-2.5625,-26.6875,100.938,-0.618774,-0.191467,-0.130981,0.750549
-148.5,-3.9375,103.438,3.27,-3.74,12.22,-1.625,-26.625,99.625,-0.627686,-0.18457,-0.138489,0.743469
-149.688,-7.5625,116.688,3.72,-3.5,12.52,-0.75,-26.5,98.125,-0.63739,-0.17749,-0.145691,0.735535
-149.688,-11.5,133.812,4.05,-3.21,12.55,0,-26.375,96.5,-0.64801,-0.170227,-0.152466,0.726562
-153.938,-14.25,153,4.24,-2.47,12.51,0.75,-26.25,94.6875,-0.659668,-0.162903,-0.158875,0.716248
-155.125,-14.875,171.312,4.55,-1.95,12.69,1.4375,-26.125,92.6875,-0.672241,-0.15564,-0.165039,0.704712
-155.125,-15,188.375,4.67,-1.68,12.67,2.0625,-26.0625,90.5,-0.685547,-0.148499,-0.170959,0.691895
-155.75,-16.875,204.938,4.6,-1.51,12.49,2.625,-26,88.1875,-0.699585,-0.141479,-0.176392,0.677856
-154.812,-19.0625,219.5,5.08,-0.74,13.44,3,-25.875,85.6875,-0.71405,-0.134644,-0.181274,0.662659
-151.188,-18.8125,233.188,5.43,-0.45,13.9,3.375,-25.875,83.125,-0.728882,-0.128235,-0.185669,0.646423
-144.812,-18.375,247.188,5.64,-0.24,14.25,3.5625,-25.8125,80.375,-0.744019,-0.122192,-0.189697,0.628906
-144.812,-17.5,261.938,5.72,0.21,14.37,3.75,-25.8125,77.5,-0.75946,-0.116333,-0.193481,0.610107
-144,-14.5,276.375,5.75,0.51,14.3,3.875,-25.875,74.5,-0.775085,-0.11084,-0.197205,0.589966
-144.25,-8.9375,289.75,5.75,0.8,14.12,3.875,-25.9375,71.375,-0.79071,-0.105713,-0.20105,0.568481
-144.188,-1.5,302.5,5.83,1.02,13.96,3.8125,-26.125,68.125,-0.806213,-0.101196,-0.205017,0.545654
-143.125,4.625,315.375,6.11,1.72,14.26,3.6875,-26.375,64.75,-0.821533,-0.097229,-0.209045,0.521484
-141.062,9.25,328.188,5.98,2.03,14.41,3.4375,-26.6875,61.3125,-0.836609,-0.09375,-0.213013,0.495911
-138.812,12,339.188,5.62,2.29,14.34,3.125,-27,57.6875,-0.851257,-0.0905151,-0.216919,0.469177
-138.625,14.875,346.375,5.39,2.4,14.48,2.8125,-27.3125,54,-0.865356,-0.0874023,-0.220703,0.441345
-139.25,20.375,348.688,4.94,2.57,14.94,2.375,-27.625,50.3125,-0.878601,-0.0843506,-0.224792,0.412903
-140.625,28.125,346.875,4.8,2.49,15.16,2,-28.0625,46.625,-0.890686,-0.0811157,-0.229309,0.383972
-144.75,36.875,341.75,4.61,2.44,15.34,1.75,-28.5,42.9375,-0.901672,-0.0774536,-0.234558,0.354919
-152,47.5,334.562,4.63,2.51,15.59,1.5,-29.0625,39.3125,-0.911377,-0.0731201,-0.240784,0.325745
-162.438,58.375,325.812,5.4,3.01,16.45,1.4375,-29.75,35.6875,-0.919739,-0.0678101,-0.247925,0.29657
-175.438,69.25,316.562,5.88,2.98,16.49,1.5,-30.5,32.1875,-0.92688,-0.0614014,-0.256165,0.267456
-189.75,77.625,308.312,6,2.56,15.99,1.6875,-31.3125,28.625,-0.932739,-0.053894,-0.265076,0.238403
-202.625,78.1875,300.812,5.93,2.01,15.48,1.9375,-32.1875,25.1875,-0.9375,-0.0455933,-0.273987,0.209534
-211.062,72.1875,292.125,5.7,1.49,15.83,2.25,-32.9375,21.75,-0.941406,-0.0366211,-0.282227,0.181091
-214.312,62.25,280.938,5.56,1.41,16.04,2.5625,-33.6875,18.4375,-0.944458,-0.0270386,-0.28949,0.15332
