Gyro_x,Gyro_y,Gyro_z,Acc_x,Acc_y,Acc_z,Euler_x,Euler_y,Euler_z,Quat_0,Quat_1,Quat_2,Quat_3
-0.625,-0.3125,-0.3125,-0.48,0.09,9.4,-0.75,-3.4375,4.25,-0.99884,-0.00787354,-0.0298462,0.0371704
0.375,0,0.3125,-0.51,0.13,9.5,-0.75,-3.4375,4.25,-0.99884,-0.00787354,-0.0298462,0.0371704
0.625,-0.0625,0.5625,-0.62,0.22,9.56,-0.75,-3.4375,4.25,-0.99884,-0.00793457,-0.0298462,0.0371704
0.3125,-0.5,0.0625,-0.65,0.27,9.58,-0.75,-3.4375,4.25,-0.99884,-0.00793457,-0.0298462,0.0371704
-0.3125,-1.0625,-0.25,-0.55,0.22,9.55,-0.75,-3.4375,4.25,-0.99884,-0.00793457,-0.0297241,0.0371704
-0.375,-0.875,-0.1875,-0.49,0.15,9.5,-0.75,-3.375,4.25,-0.99884,-0.00793457,-0.0296631,0.0371704
-0.1875,-0.4375,0.125,-0.49,0.14,9.51,-0.75,-3.375,4.25,-0.99884,-0.00793457,-0.0296631,0.0371704
0.375,0,0.4375,-0.59,0.2,9.56,-0.75,-3.375,4.25,-0.99884,-0.00793457,-0.0296631,0.0371704
0.5,0.375,0.125,-0.61,0.24,9.6,-0.75,-3.375,4.25,-0.99884,-0.00793457,-0.0296631,0.0371704
-0.125,0.5625,-0.3125,-0.58,0.24,9.61,-0.75,-3.375,4.25,-0.99884,-0.00793457,-0.0296631,0.0371704
-0.5,0.6875,-0.0625,-0.56,0.15,9.55,-0.75,-3.375,4.25,-0.99884,-0.00793457,-0.0297241,0.0371704
-0.375,0.6875,0,-0.59,0.12,9.51,-0.75,-3.4375,4.25,-0.99884,-0.00793457,-0.0297852,0.0371704
-0.125,0.875,0.125,-0.63,0.12,9.53,-0.75,-3.4375,4.25,-0.99884,-0.00793457,-0.0298462,0.0371704
0.25,0.75,-0.125,-0.61,0.17,9.5,-0.75,-3.4375,4.25,-0.99884,-0.00793457,-0.0299072,0.0371704
0.4375,-0.1875,0.0625,-0.61,0.25,9.56,-0.75,-3.4375,4.25,-0.99884,-0.00793457,-0.0299072,0.0371704
0.1875,-1.25,0.125,-0.58,0.26,9.6,-0.75,-3.4375,4.25,-0.99884,-0.00793457,-0.0297852,0.0371704
-0.25,-2,0.1875,-0.58,0.19,9.5,-0.75,-3.375,4.25,-0.99884,-0.00793457,-0.0296021,0.0371704
0,-1.9375,0,-0.54,0.15,9.58,-0.75,-3.375,4.25,-0.99884,-0.00787354,-0.02948,0.0371704
0.3125,-1.0625,-0.1875,-0.45,0.18,9.6,-0.75,-3.375,4.25,-0.99884,-0.00787354,-0.0293579,0.0371704
0.4375,0.125,0,-0.48,0.24,9.58,-0.75,-3.375,4.25,-0.99884,-0.00787354,-0.0293579,0.0371704
0.125,1.25,0.125,-0.55,0.26,9.63,-0.75,-3.375,4.25,-0.99884,-0.00787354,-0.02948,0.0371704
-0.5625,1.5,0,-0.62,0.27,9.61,-0.75,-3.375,4.25,-0.99884,-0.00787354,-0.0296021,0.0371704
-0.8125,1.5625,-0.1875,-0.59,0.11,9.5,-0.75,-3.4375,4.25,-0.99884,-0.0078125,-0.0297241,0.0371704
-0.4375,1.5625,-0.375,-0.57,0.11,9.45,-0.75,-3.4375,4.25,-0.99884,-0.00787354,-0.0299072,0.0371704
0,0.75,0,-0.6,0.16,9.46,-0.75,-3.4375,4.25,-0.99884,-0.00787354,-0.0299683,0.0371704
0.375,-0.1875,0.25,-0.67,0.24,9.56,-0.75,-3.4375,4.25,-0.99884,-0.00787354,-0.0299683,0.0371704
0.25,-1.125,0.125,-0.63,0.21,9.57,-0.75,-3.4375,4.25,-0.99884,-0.00787354,-0.0298462,0.0371704
0.0625,-2,0,-0.58,0.22,9.55,-0.75,-3.375,4.25,-0.99884,-0.0078125,-0.0296631,0.0371704
-0.0625,-1.75,-0.125,-0.52,0.18,9.55,-0.75,-3.375,4.25,-0.99884,-0.0078125,-0.029541,0.0371704
0.125,-0.8125,0.125,-0.52,0.2,9.55,-0.75,-3.375,4.25,-0.99884,-0.0078125,-0.02948,0.0371704
0.125,0.0625,0.1875,-0.56,0.24,9.6,-0.75,-3.375,4.25,-0.99884,-0.0078125,-0.02948,0.0371704
0.0625,0.4375,0.0625,-0.58,0.22,9.58,-0.75,-3.375,4.25,-0.99884,-0.0078125,-0.02948,0.0371704
-0.0625,0.6875,-0.0625,-0.56,0.22,9.55,-0.75,-3.375,4.25,-0.99884,-0.0078125,-0.029541,0.0371704
-0.3125,0.75,-0.125,-0.55,0.17,9.53,-0.75,-3.375,4.25,-0.99884,-0.0078125,-0.0296021,0.0371704
-0.125,0.6875,0,-0.56,0.17,9.53,-0.75,-3.375,4.25,-0.99884,-0.0078125,-0.0296631,0.0371704
-0.0625,0.25,0,-0.59,0.18,9.53,-0.75,-3.375,4.25,-0.99884,-0.0078125,-0.0296631,0.0371704
0.1875,0,0,-0.61,0.18,9.53,-0.75,-3.375,4.25,-0.99884,-0.0078125,-0.0296631,0.0371704
0,-0.25,-0.125,-0.57,0.2,9.53,-0.75,-3.375,4.25,-0.99884,-0.0078125,-0.0296631,0.0371704
-0.125,-0.3125,0.0625,-0.58,0.17,9.54,-0.75,-3.375,4.25,-0.99884,-0.0078125,-0.0296631,0.0371704
0,-0.375,0.0625,-0.58,0.2,9.52,-0.75,-3.375,4.25,-0.99884,-0.0078125,-0.0296631,0.0371704
0.0625,-0.375,0,-0.59,0.18,9.52,-0.75,-3.375,4.25,-0.99884,-0.0078125,-0.0296631,0.0371704
0.1875,-0.375,0.0625,-0.56,0.19,9.56,-0.75,-3.375,4.25,-0.99884,-0.0078125,-0.0296631,0.0371704
0.125,-0.375,0,-0.54,0.18,9.58,-0.75,-3.375,4.25,-0.99884,-0.0078125,-0.0296631,0.0371704
-0.0625,-1.4375,0,-0.56,0.18,9.4,-0.75,-3.375,4.25,-0.99884,-0.0078125,-0.029541,0.0371704
0,-1.125,0.1875,0.17,-0.03,9.16,-0.75,-3.375,4.25,-0.99884,-0.0078125,-0.0294189,0.0371704
1.875,1.9375,2.375,0.23,-0.15,9.8,-0.75,-3.375,4.1875,-0.99884,-0.00799561,-0.0296021,0.0369873
1.375,8,3.6875,-0.29,0.3,10.07,-0.75,-3.4375,4.1875,-0.99884,-0.00817871,-0.0302734,0.0366821
2.8125,16.6875,2.5,-0.6,0.79,9.39,-0.8125,-3.625,4.125,-0.998779,-0.00842285,-0.0316772,0.036438
-1.5,15.5,-0.1875,-0.76,0.44,9.59,-0.8125,-3.75,4.125,-0.998779,-0.00836182,-0.032959,0.036438
-5.5,12.5,-1.25,-0.58,-0.06,9.2,-0.75,-3.875,4.1875,-0.998718,-0.00793457,-0.0340576,0.0365601
-3.9375,11.3125,-0.5625,-0.79,-0.25,9.25,-0.6875,-4,4.1875,-0.998718,-0.00762939,-0.0350342,0.036499
-0.4375,7.6875,0.625,-0.9,-0.17,8.78,-0.6875,-4.0625,4.125,-0.998657,-0.00769043,-0.0356445,0.036438
2.0625,-0.4375,1.4375,-1.71,0.35,9.26,-0.75,-4.0625,4.125,-0.998657,-0.0078125,-0.0356445,0.0363159
2.1875,-10.8125,0.125,-1.59,0.41,9.24,-0.75,-4,4.125,-0.998718,-0.00799561,-0.034729,0.036377
1.625,-21.5625,-1.125,-1.36,0.24,9.46,-0.75,-3.75,4.125,-0.998779,-0.00805664,-0.0328979,0.036499
