Gyro_x,Gyro_y,Gyro_z,Acc_x,Acc_y,Acc_z,Mag_x,Mag_y,Mag_z,Euler_x,Euler_y,Euler_z,Quat_0,Quat_1,Quat_2,Quat_3
-0.9375,10.25,2.8125,1.04,2.03,9.15,-22.25,-16.25,-20.375,-12,6.125,117.5,0.514771,0.00811768,-0.117188,-0.849243
-0.0625,9,3.0625,0.88,1.88,9.69,-22.25,-16.25,-20.375,-12,6,117.5,0.515076,0.00872803,-0.11676,-0.849121
-0.0625,8.75,3.375,0.81,1.77,10.06,-22.5625,-16,-19.1875,-12,5.9375,117.5,0.515015,0.00927734,-0.116394,-0.849182
-1.6875,10.875,4,0.73,1.64,10.51,-22.5625,-16,-19.1875,-12,5.875,117.438,0.515381,0.00994873,-0.115784,-0.84906
-5.1875,16.8125,4.6875,0.27,1.62,10.88,-22.5625,-16,-19.1875,-11.8125,5.4375,117.375,0.516479,0.0122681,-0.112915,-0.848755
-9.1875,25.6875,4.375,0.36,1.75,11.06,-22.5625,-16,-19.1875,-11.8125,5.4375,117.312,0.516479,0.0142212,-0.110413,-0.848694
-13.4375,35.8125,3,0.65,1.91,10.93,-22.5625,-16,-19.1875,-11.6875,5.125,117.25,0.517029,0.0142212,-0.110413,-0.848694
-18.1875,40.625,1.8125,0.33,1.89,10.27,-22.25,-16,-20.375,-11.5,4.75,117.25,0.517212,0.0162964,-0.1073,-0.848938
-21.25,36.875,1.125,1.22,1.73,9.59,-22.25,-16,-20.375,-11.25,4.375,117.25,0.517639,0.0180054,-0.104187,-0.84906
-23.1875,31.875,1.875,1.29,1.86,9.54,-22.25,-16,-20.375,-10.8125,3.875,117.188,0.518616,0.0198975,-0.0982056,-0.849121
-25.25,25.3125,3.8125,1.42,1.92,9.74,-22.25,-16,-20.375,-10.8125,3.875,117.125,0.518616,0.0199585,-0.095459,-0.848999
-27.8125,17.9375,6.75,1.51,1.91,9.9,-22.25,-16,-20.375,-10.5,3.6875,117.062,0.519287,0.0199585,-0.095459,-0.848999
-30.5625,14.3125,10.1875,1.37,1.82,10.68,-21.875,-15.1875,-21.5625,-10.1875,3.5625,116.938,0.520203,0.0195312,-0.0926514,-0.848816
-34.375,16.25,14.0625,1.26,1.64,11.17,-21.875,-15.1875,-21.5625,-9.875,3.4375,116.812,0.521362,0.019104,-0.0894775,-0.848389
-40.25,24.5,18.1875,1.14,1.48,11.34,-21.875,-15.1875,-21.5625,-9,3.25,116.625,0.524902,0.0194092,-0.0805054,-0.847107
-47.375,38.125,23.0625,0.74,1.59,10.52,-21.875,-15.1875,-21.5625,-9,2.9375,116.375,0.524902,0.0194092,-0.0744019,-0.84613
-52.5,53.8125,27.4375,0.29,1.84,9.4,-21.875,-15.1875,-21.5625,-8.5,2.4375,116.125,0.527344,0.020752,-0.0744019,-0.84613
-51.75,64.9375,30.125,0.23,2,8.51,-21.875,-14.75,-21.5625,-7.9375,1.875,115.75,0.529968,0.0228882,-0.0678711,-0.845032
-43.75,67.4375,30.9375,0.54,2.06,8.45,-21.875,-14.75,-21.5625,-7.5,1.25,115.438,0.532593,0.0255737,-0.0617676,-0.843689
-31.8125,60.125,30.1875,0.22,1.8,7.89,-21.875,-14.75,-21.5625,-7,0.75,115.125,0.537415,0.0304565,-0.0535889,-0.841064
-18.25,44.5625,28.125,0.2,1.83,8.49,-21.875,-14.75,-21.5625,-7,0.3125,114.812,0.537415,0.0321045,-0.0517578,-0.839905
-7.9375,29.9375,24.25,0,2,9.38,-21.875,-14.75,-21.5625,-6.9375,0.0625,114.562,0.539246,0.0321045,-0.0517578,-0.839905
-4.5625,17.875,18.5625,-0.19,2.06,10.33,-21.0625,-13.6875,-24.0625,-6.875,0,114.375,0.540588,0.0330811,-0.0506592,-0.839111
-8.8125,10.1875,11.125,-0.34,2.28,11.27,-21.0625,-13.6875,-24.0625,-6.8125,-0.125,114.25,0.541443,0.0333862,-0.0495605,-0.838623
-17.4375,12.125,3,-0.91,2.35,10.29,-21.0625,-13.6875,-24.0625,-6.4375,-0.1875,114.25,0.541565,0.0333862,-0.0452881,-0.838806
-24.8125,15.5,-4.9375,-0.54,2.24,9.66,-21.0625,-13.6875,-24.0625,-6.4375,-0.375,114.25,0.541565,0.0333862,-0.0426636,-0.839294
-26.125,17.25,-10.0625,-0.34,2.16,9.13,-21.0625,-13.6875,-24.0625,-6.1875,-0.5625,114.375,0.540955,0.0334473,-0.0426636,-0.839294
-21.5625,17.6875,-11.875,0.17,1.94,8.36,-20.5,-13,-24.0625,-5.9375,-0.75,114.5,0.539978,0.0337524,-0.0402832,-0.840027
-12.4375,14.5625,-10.9375,0.18,1.97,8.11,-20.5,-13,-24.0625,-5.8125,-0.875,114.625,0.539246,0.0342407,-0.0386963,-0.840515
-1.5625,8.1875,-9.5,0.24,1.97,7.96,-20.5,-13,-24.0625,-5.875,-0.9375,114.688,0.537964,0.0352173,-0.0387573,-0.841309
8.6875,-0.1875,-8.75,0.19,2.03,8.11,-20.5,-13,-24.0625,-5.875,-1,114.75,0.537964,0.0354004,-0.0403442,-0.841736
17,-9.0625,-10.1875,0.03,2.29,9,-20.5,-13,-24.0625,-6.0625,-0.875,114.875,0.53717,0.0354004,-0.0403442,-0.841736
22.625,-16.75,-13.6875,-0.07,2.25,9.43,-20.75,-11.75,-24.875,-6.25,-0.75,115,0.536194,0.0352783,-0.0427246,-0.842285
25.125,-20.875,-17.8125,-0.13,2.13,9.73,-20.75,-11.75,-24.875,-6.5,-0.5625,115.188,0.53479,0.0349731,-0.0453491,-0.843018
25.0625,-20.125,-20.6875,0.2,1.92,9.87,-20.75,-11.75,-24.875,-6.75,-0.375,115.375,0.531616,0.034668,-0.050293,-0.844788
22.6875,-16.5625,-20,0.42,1.76,9.7,-20.75,-11.75,-24.875,-7,-0.25,115.625,0.531616,0.03479,-0.0523071,-0.845459
20.125,-12.5,-15.75,0.55,1.64,9.45,-20.75,-11.75,-24.875,-7.1875,-0.1875,115.75,0.530334,0.03479,-0.0523071,-0.845459
19.4375,-9.0625,-9.5,0.49,1.53,9.33,-20.5,-12.5625,-23.6875,-7.375,-0.0625,115.875,0.529541,0.0350342,-0.0540771,-0.845825
20,-6.8125,-3.625,0.13,1.74,9.57,-20.5,-12.5625,-23.6875,-7.5625,0,115.938,0.529175,0.0354614,-0.0557861,-0.845947
20.1875,-5.25,0.6875,-0.18,1.86,9.49,-20.5,-12.5625,-23.6875,-7.75,0,115.938,0.529175,0.0365601,-0.0592041,-0.845642
21.125,-4.8125,1.6875,-0.38,1.92,9.49,-20.5,-12.5625,-23.6875,-7.9375,0,115.875,0.529175,0.0365601,-0.0610962,-0.84552
22.75,-6,-0.1875,-0.41,1.91,9.51,-20.5,-12.5625,-23.6875,-8.1875,0.0625,115.875,0.529114,0.0371704,-0.0610962,-0.84552
24.8125,-10.25,-3.75,-0.48,1.89,9.6,-19.25,-14.0625,-23.6875,-8.4375,0.1875,116.125,0.527222,0.0374146,-0.0633545,-0.846558
26.6875,-17.0625,-9.375,-0.49,1.88,9.83,-19.25,-14.0625,-23.6875,-8.6875,0.3125,116.25,0.526367,0.0374756,-0.06604,-0.846863
26.5,-22.1875,-16.75,-0.49,1.87,10.01,-19.25,-14.0625,-23.6875,-8.9375,0.5,116.438,0.522949,0.036499,-0.0715942,-0.848572
23.6875,-25.625,-25.0625,-0.41,1.86,10.3,-19.25,-14.0625,-23.6875,-9.1875,0.6875,116.688,0.522949,0.036499,-0.0739136,-0.849976
17.3125,-26.875,-32.375,0,1.89,10.58,-19.25,-14.0625,-23.6875,-9.3125,0.9375,117,0.520386,0.0355225,-0.0739136,-0.849976
8.6875,-27,-36.9375,0.22,1.88,10.42,-21.0625,-14.5,-23.25,-9.4375,1.125,117.438,0.517334,0.0341797,-0.0756836,-0.851746
0.125,-26.0625,-38.4375,0.4,1.83,10.16,-21.0625,-14.5,-23.25,-9.4375,1.3125,117.812,0.514404,0.0325317,-0.0766602,-0.853516
-5.8125,-23.9375,-37.4375,0.54,1.74,9.44,-21.0625,-14.5,-23.25,-9.375,1.5,118.188,0.508911,0.0292358,-0.0773926,-0.856873
-8,-20.3125,-35.3125,0.59,1.78,9.17,-21.0625,-14.5,-23.25,-9.3125,1.625,118.562,0.508911,0.0292358,-0.0775757,-0.858337
-6.1875,-16.75,-32.625,0.62,1.85,9.09,-21.0625,-14.5,-23.25,-9.25,1.75,118.875,0.506409,0.0279541,-0.0775757,-0.858337
-1.5,-12.9375,-30.4375,0.58,1.81,9.06,-21.0625,-14.75,-22.0625,-9.25,1.8125,119.188,0.504089,0.0271606,-0.0779419,-0.85968
4.5,-9.8125,-28.8125,0.46,1.92,9.2,-21.0625,-14.75,-22.0625,-9.3125,1.875,119.5,0.501953,0.0267944,-0.0786743,-0.860901
9.8125,-7.4375,-28.125,0.28,2.08,9.3,-21.0625,-14.75,-22.0625,-9.4375,1.875,119.75,0.499817,0.0271606,-0.0808716,-0.86322
13.8125,-6.875,-29.5625,0.27,2.05,9.41,-21.0625,-14.75,-22.0625,-9.5625,1.875,120.062,0.497559,0.0271606,-0.0808716,-0.864441
15.125,-8,-31.4375,0.33,1.93,9.43,-21.0625,-14.75,-22.0625,-9.75,1.9375,120.375,0.495178,0.0274048,-0.0822144,-0.864441
14.1875,-9.75,-33.4375,0.37,2.01,9.72,-20.5,-16,-22.0625,-9.875,1.9375,120.75,0.491943,0.0274658,-0.0836182,-0.86615
11.5625,-10.5625,-35.625,0.51,1.93,9.76,-20.5,-16,-22.0625,-10,2,121.125,0.489258,0.0274048,-0.0848389,-0.867615
8,-11.125,-35.875,0.57,1.84,9.62,-20.5,-16,-22.0625,-10.0625,2.0625,121.5,0.486511,0.0267944,-0.0866089,-0.870422
5.3125,-12.3125,-34.0625,0.6,1.85,9.61,-20.5,-16,-22.0625,-10.125,2.125,121.812,0.483887,0.0267944,-0.0866089,-0.871704
4.5,-12.875,-31.375,0.61,2.03,9.54,-20.5,-16,-22.0625,-10.1875,2.1875,122.125,0.481506,0.0262451,-0.0874023,-0.871704
5.8125,-12.3125,-28.9375,0.63,2.04,9.47,-21.0625,-16.25,-22.0625,-10.3125,2.25,122.438,0.479248,0.0257568,-0.0884399,-0.872864
9.1875,-11.8125,-26.6875,0.62,2.07,9.5,-21.0625,-16.25,-22.0625,-10.4375,2.3125,122.688,0.477173,0.0253906,-0.0897217,-0.87384
13.25,-10.5625,-24.4375,0.43,2.16,9.74,-21.0625,-16.25,-22.0625,-10.5625,2.375,122.938,0.47522,0.0253296,-0.0912476,-0.874756
16.5625,-8.75,-22.625,0.47,2.08,9.82,-21.0625,-16.25,-22.0625,-10.75,2.4375,123.188,0.47345,0.0255737,-0.0944214,-0.876221
18.8125,-6,-20.5,0.5,2.06,9.89,-21.0625,-16.25,-22.0625,-10.9375,2.4375,123.375,0.471863,0.026062,-0.0944214,-0.876221
19.125,-4.9375,-18.375,0.65,2.08,9.94,-20.0625,-17,-21.5625,-11.125,2.5,123.562,0.470215,0.0265503,-0.0960083,-0.876892
18.1875,-6.25,-15.5625,0.72,2.06,9.83,-20.0625,-17,-21.5625,-11.3125,2.5,123.75,0.468933,0.0269165,-0.0975952,-0.87738
17.0625,-8.6875,-12.6875,0.7,2.09,9.95,-20.0625,-17,-21.5625,-11.5,2.5625,123.875,0.467896,0.0270996,-0.0991821,-0.877808
15.375,-11.5,-9.375,0.6,2.08,10.18,-20.0625,-17,-21.5625,-11.625,2.6875,123.938,0.467102,0.0268555,-0.102173,-0.878174
12.3125,-12.3125,-5.75,0.43,2.03,10.36,-20.0625,-17,-21.5625,-11.75,2.75,124,0.466492,0.0264893,-0.102173,-0.878174
7.9375,-8.75,-2.3125,0.12,2.06,10.23,-20.5,-18.5,-20.375,-11.8125,2.8125,124.125,0.465576,0.026123,-0.103088,-0.878601
3.5625,-2.125,0.25,0.02,2.1,9.97,-20.5,-18.5,-20.375,-11.875,2.875,124.125,0.465515,0.026062,-0.103455,-0.878601
0.625,4.5,2.125,-0.01,2.14,9.56,-20.5,-18.5,-20.375,-11.875,2.8125,124.125,0.465698,0.0264282,-0.102966,-0.878296
0.5625,9.1875,3.4375,-0.03,2.12,9.24,-20.5,-18.5,-20.375,-11.875,2.75,124.062,0.466064,0.0270996,-0.102966,-0.878113
3.625,11.9375,4.4375,0.05,2.13,9,-20.5,-18.5,-20.375,-11.9375,2.625,124,0.466492,0.0280762,-0.102783,-0.878113
8.9375,14.0625,5.5,0.01,2.15,8.92,-20.5,-18.0625,-20.375,-12,2.5,123.938,0.46698,0.0294189,-0.102905,-0.877747
15.0625,14.4375,5.875,-0.12,2.17,8.91,-20.5,-18.0625,-20.375,-12.125,2.375,123.875,0.467468,0.0310059,-0.103455,-0.87738
20.375,12.8125,5.125,-0.48,2.2,9.19,-20.5,-18.0625,-20.375,-12.3125,2.3125,123.812,0.467957,0.0327148,-0.105835,-0.876648
24,11.1875,1.75,-0.4,2.2,9.44,-20.5,-18.0625,-20.375,-12.5625,2.1875,123.75,0.468079,0.0344849,-0.105835,-0.876526
24.9375,10.5,-3.375,-0.36,2.14,9.66,-20.5,-18.0625,-20.375,-12.8125,2.0625,123.812,0.467834,0.0363159,-0.107239,-0.876526
24.1875,10.875,-8.125,-0.25,2,9.68,-19.6875,-17.75,-20,-13.0625,1.9375,123.875,0.467102,0.038147,-0.108582,-0.876648
